,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
3181,14,-1,1,4,0,11,11,0,11,6,1,4,0,14,13,0,12,3,0,1,0,11,11,3,14,-1,-1,1,0,8,8,3,14,0,-1,1,0,8,7,3,11,3,0,1,0,7,7,4,10,5,0,1,0,8,7,3,14,-1,0,1,0,8,8,3
3182,14,7,0,0,0,7,9,0,15,9,0,1,0,11,10,0,15,9,0,-2,0,5,6,3,13,4,0,-1,0,10,3,3,15,9,0,-2,0,16,22,3,14,0,0,-2,0,8,2,3,12,5,0,-3,0,8,3,3,14,2,0,-2,0,8,2,3
3183,13,4,1,1,0,1,5,0,14,1,1,1,0,3,2,0,13,7,0,-2,0,4,4,3,15,0,0,-2,0,3,-1,3,12,8,0,-2,0,-2,3,3,13,6,0,-2,0,-3,-1,3,12,8,0,-2,0,-3,-1,3,13,6,0,-2,0,-4,0,3
3184,13,11,0,2,0,11,11,0,14,2,0,1,0,14,13,0,13,10,0,-1,0,11,11,3,12,9,0,-2,0,11,18,3,12,5,0,-2,0,9,9,3,12,9,0,-2,0,8,9,3,12,10,0,-2,0,11,8,3,13,4,0,-2,0,7,8,3
3185,15,3,-1,2,0,13,5,0,14,7,0,2,0,15,7,0,13,3,0,-1,0,12,4,3,14,1,-1,-1,0,7,-1,3,14,0,-1,-1,0,12,2,3,14,-1,-1,-1,0,7,1,3,14,0,-1,-1,0,7,1,3,14,-1,-1,-1,0,7,1,3
3186,10,4,1,1,0,12,16,0,10,5,1,1,0,14,17,0,10,3,1,-2,0,12,15,3,10,4,1,-2,0,11,11,3,13,-2,0,-2,0,11,11,3,13,-1,0,-2,0,9,11,3,10,2,0,-2,0,8,11,3,11,3,0,-2,0,9,11,3
3187,9,0,1,0,0,9,10,0,8,3,1,0,0,10,11,0,7,3,0,-3,0,11,10,3,8,1,1,-3,0,10,9,3,9,-1,0,-3,0,7,9,3,8,1,0,-3,0,10,8,3,6,3,0,-3,0,9,8,3,7,5,0,-3,0,10,8,3
3188,14,1,0,2,0,9,10,0,12,1,1,2,0,13,5,0,12,4,0,-1,0,7,5,3,12,1,1,-1,0,10,1,3,13,-1,1,-1,0,6,2,3,13,-2,1,-1,0,5,2,3,14,-2,0,-1,0,10,2,3,11,1,0,-1,0,5,2,3
3189,12,0,1,2,0,3,5,0,11,3,1,2,0,2,0,0,11,-1,0,-1,0,5,3,3,9,4,0,-1,0,0,2,3,9,3,0,-1,0,3,3,3,9,4,0,-1,0,3,1,3,9,3,0,-1,0,2,0,3,9,4,0,-1,0,-2,0,3
3190,10,2,0,1,0,12,2,0,9,12,0,1,0,12,3,0,11,5,0,-2,0,8,0,3,12,3,-1,-2,0,5,-4,3,12,2,-1,-2,0,8,-3,3,10,5,-1,-2,0,5,-4,3,9,4,-1,-2,0,8,-3,3,9,8,-1,-2,0,5,-4,3
3191,11,5,1,1,0,14,12,0,11,1,1,1,0,11,9,3,9,2,1,-2,0,9,5,3,9,3,1,-2,0,10,5,3,9,5,0,-2,0,7,5,3,10,3,0,-2,0,8,5,3,9,2,0,-2,0,8,6,3,10,3,0,-2,0,8,5,3
3192,6,6,1,1,0,11,11,0,10,16,2,0,0,9,7,0,8,0,2,-3,0,7,4,3,8,0,1,-3,0,10,8,3,6,1,1,-3,0,5,3,3,7,2,1,-3,0,9,6,3,6,1,1,-3,0,5,3,3,8,0,1,-3,0,9,6,3
3193,12,16,1,2,0,14,21,0,26,20,3,5,0,14,15,0,8,4,2,-2,0,14,12,3,9,6,2,-2,0,10,7,3,9,5,1,-2,0,10,7,3,11,-1,1,-2,0,6,8,3,9,5,1,-2,0,5,8,3,11,-1,1,-2,0,13,10,3
3194,10,21,1,1,0,11,11,0,6,14,2,1,0,11,12,0,9,4,1,-2,0,9,10,3,9,3,0,-2,0,11,7,3,8,4,1,-2,0,13,11,3,6,8,1,-2,0,14,11,3,6,9,1,-2,0,6,8,3,6,8,1,-2,0,9,9,3
3195,9,4,0,1,0,14,15,0,8,7,0,1,0,11,15,0,11,6,0,-2,0,9,15,3,10,-1,0,-2,0,7,11,3,8,4,0,-3,0,6,10,3,8,3,0,-3,0,7,11,3,8,4,0,-3,0,6,10,3,7,2,0,-3,0,7,11,3
3196,10,3,0,1,0,10,12,0,8,9,0,1,0,8,10,0,10,1,0,-2,0,2,8,3,8,4,-1,-2,0,4,7,3,8,3,-1,-2,0,6,6,3,8,4,-1,-2,0,2,5,3,8,3,-1,-2,0,3,5,3,8,4,-1,-2,0,2,5,3
3197,11,10,0,1,0,12,8,0,10,4,0,1,0,14,6,0,11,10,-1,-2,0,8,6,3,11,2,-1,-2,0,12,4,3,11,4,-1,-2,0,12,5,3,11,3,-1,-2,0,6,3,3,11,1,-1,-2,0,12,5,3,10,6,-1,-2,0,6,3,3
3198,16,7,1,2,0,11,12,0,17,8,1,2,0,10,11,0,15,6,1,-1,0,11,9,3,16,0,0,-1,0,5,5,3,17,2,0,-1,0,6,6,3,16,0,0,-1,0,5,5,3,17,2,0,-1,0,6,6,3,16,0,0,-1,0,5,5,3
3199,9,5,0,0,0,0,1,0,9,-1,0,0,0,4,-2,0,10,0,-1,-1,0,4,-1,3,8,2,-2,-3,0,-2,-2,3,10,-1,-2,-2,0,1,-6,3,7,5,-2,-3,0,4,-3,3,10,-1,-2,-2,0,1,-5,3,7,5,-2,-3,0,1,-5,3
3200,12,14,0,1,0,7,3,0,14,7,0,3,0,8,3,0,13,4,0,-1,0,10,-1,3,12,7,0,-2,0,11,-1,3,12,8,0,-2,0,8,-4,3,12,7,0,-2,0,4,-3,3,14,3,0,-1,0,8,-4,3,15,2,0,-1,0,4,-3,3
3201,13,7,0,1,0,3,5,0,14,-2,0,0,0,2,5,0,13,6,0,-2,0,3,-1,3,12,2,0,-3,0,3,-1,3,13,0,0,-3,0,3,-1,3,12,2,0,-3,0,-1,-1,3,13,0,0,-3,0,-1,-1,3,12,2,0,-3,0,-1,-1,3
3202,13,3,0,1,0,4,0,0,12,8,0,1,0,6,0,0,12,8,0,-2,0,3,-2,3,12,8,0,-2,0,-3,-5,3,15,3,0,-2,0,3,-6,3,12,3,-1,-2,0,-3,-5,3,13,4,-1,-2,0,3,-6,3,12,3,-1,-2,0,-3,-5,3
3203,15,5,0,2,0,6,14,0,15,6,0,3,0,10,13,0,13,8,0,-1,0,7,22,3,15,1,0,-1,0,10,13,3,16,1,0,-1,0,8,8,3,13,3,0,-2,0,10,10,3,16,1,0,-1,0,11,10,3,13,3,0,-2,0,8,7,3
3204,8,9,-2,1,0,14,14,0,8,10,-2,1,0,15,14,0,8,1,-2,-1,0,8,10,3,6,3,-2,-3,0,7,10,3,6,4,-2,-3,0,8,7,3,5,2,-2,-3,0,8,7,3,5,3,-2,-3,0,8,7,3,6,3,-2,-3,0,8,7,3
3205,18,1,-1,2,0,4,7,0,17,4,-1,2,0,6,9,0,17,2,-1,-1,0,7,3,3,17,3,-1,-1,0,5,4,3,15,6,-1,-2,0,7,4,3,17,3,-1,-1,0,8,5,3,15,6,-1,-2,0,7,5,3,17,3,-1,-1,0,5,5,3
3206,10,3,0,0,0,10,9,0,11,3,0,0,0,10,16,0,10,9,0,-3,0,5,5,3,12,0,0,-3,0,10,6,3,11,0,-1,-3,0,5,5,3,11,-1,-1,-3,0,10,6,3,10,8,-1,-3,0,5,5,3,11,-1,-1,-3,0,10,6,3
3207,12,8,1,1,0,14,16,0,15,2,1,1,0,14,25,0,14,3,1,-2,0,12,13,3,15,5,1,-2,0,8,11,3,12,4,1,-2,0,12,11,3,12,7,0,-2,0,8,11,3,12,7,0,-2,0,12,11,3,12,7,0,-2,0,11,11,3
3208,12,8,0,2,0,3,0,0,14,3,0,2,0,7,-3,0,13,8,-1,-1,0,7,-4,3,12,3,-1,-1,0,0,-6,3,13,2,-1,-1,0,-1,-6,3,13,1,-1,-1,0,7,-4,3,13,-1,-1,-1,0,-1,-6,3,12,4,-1,-1,0,7,-4,3
3209,12,3,1,1,0,14,8,0,12,4,1,1,0,17,9,0,10,6,1,-2,0,14,6,3,11,6,0,-2,0,13,6,3,12,0,0,-2,0,12,4,3,10,4,0,-2,0,12,4,3,10,5,0,-2,0,12,4,3,10,4,0,-2,0,12,4,3
3210,12,3,0,4,0,8,10,0,12,10,0,3,0,9,10,0,13,6,0,0,0,13,8,3,12,-1,0,0,0,9,4,3,9,2,0,-1,0,12,6,3,9,2,0,-1,0,9,3,3,9,2,0,-1,0,5,4,3,9,2,0,-1,0,9,3,3
3211,14,8,0,2,0,12,10,0,14,8,0,2,0,12,9,0,17,0,0,0,0,7,3,3,14,3,0,-1,0,9,7,3,14,3,0,-1,0,9,3,3,15,7,0,-1,0,7,3,3,14,3,0,-1,0,19,21,3,15,7,0,-1,0,6,4,3
3212,8,5,0,0,0,8,12,0,7,9,1,0,0,8,10,0,9,0,1,-3,0,7,7,3,8,8,0,-3,0,2,9,3,7,4,0,-3,0,7,7,3,8,2,0,-3,0,6,10,3,8,0,0,-3,0,3,6,3,8,-1,0,-3,0,5,7,3
3213,10,3,0,3,0,13,10,0,8,8,0,2,0,12,10,0,8,9,0,0,0,10,6,3,8,3,0,0,0,10,3,3,8,3,0,-1,0,9,3,3,9,7,0,-1,0,7,3,3,8,3,0,-1,0,8,4,3,8,7,0,-1,0,10,3,3
3214,10,2,0,0,0,12,12,0,10,2,0,0,0,13,10,0,8,1,0,-3,0,11,7,3,8,5,0,-3,0,10,7,3,9,1,-1,-3,0,6,9,3,8,0,-1,-3,0,11,11,3,9,1,-1,-3,0,10,7,3,8,0,-1,-3,0,7,6,3
3215,10,0,0,2,0,13,10,0,9,3,0,2,0,12,11,0,10,6,-1,-1,0,10,7,3,10,0,-2,-1,0,10,7,3,10,-1,-2,-1,0,9,4,3,9,-1,-1,-1,0,7,4,3,10,0,-1,-1,0,6,4,3,9,-1,-1,-1,0,7,4,3
3216,7,5,0,1,0,8,12,0,8,0,0,1,0,10,13,0,7,4,0,-2,0,6,10,3,6,8,0,-3,0,5,7,3,9,0,0,-2,0,5,8,3,6,4,0,-3,0,6,5,3,5,5,0,-3,0,6,5,3,6,4,0,-3,0,5,8,3
3217,11,6,0,2,0,10,10,0,10,4,0,2,0,9,11,0,11,0,-1,-1,0,8,7,3,11,1,-1,-1,0,3,4,3,8,4,-1,-1,0,6,5,3,8,3,-1,-1,0,3,4,3,8,4,-1,-1,0,6,5,3,8,3,-1,-1,0,3,4,3
3218,11,0,0,3,1,27,32,1,10,3,0,3,0,15,10,0,11,6,0,-1,0,12,6,3,8,4,0,-2,0,11,6,3,7,2,0,-2,0,12,7,3,7,3,0,-2,0,14,6,3,8,3,0,-2,0,12,7,3,7,3,0,-2,0,14,6,3
3219,9,7,2,0,0,18,12,0,9,6,2,0,0,20,5,0,11,0,2,-3,0,18,3,3,9,5,2,-3,0,17,-1,3,9,4,2,-3,0,15,-2,3,10,6,2,-3,0,16,-1,3,10,5,1,-3,0,16,-1,3,10,5,1,-3,0,16,-1,3
3220,13,11,0,2,0,3,5,0,15,11,0,4,0,6,2,0,15,7,0,1,0,6,3,3,13,10,0,-1,0,4,-2,3,14,12,0,-1,0,-1,-1,3,16,5,0,0,0,7,1,3,15,5,0,0,0,4,-2,3,15,6,0,0,0,0,-1,3
3221,10,1,0,1,0,12,13,0,9,6,0,1,0,15,14,0,9,8,0,-2,0,12,13,3,8,5,0,-3,0,12,11,3,10,3,0,-2,0,9,8,3,8,5,0,-3,0,10,9,3,8,9,0,-3,0,12,8,3,9,7,0,-3,0,10,9,3
3222,10,1,0,2,0,8,11,0,11,1,0,2,0,6,9,0,12,-2,0,-1,0,7,8,3,9,7,0,-2,0,7,8,3,10,0,0,-2,0,9,4,3,9,5,0,-2,0,13,7,3,9,5,0,-2,0,4,5,3,10,5,0,-2,0,13,7,3
3223,14,11,1,1,0,6,8,0,15,8,1,1,0,12,7,0,13,6,1,-2,0,6,7,3,13,8,0,-2,0,11,8,3,13,9,0,-2,0,6,8,3,16,4,0,-2,0,12,6,3,13,6,0,-2,0,5,4,3,13,6,0,-2,0,9,4,3
3224,15,2,0,2,0,0,-1,0,12,10,0,0,0,-1,-1,0,12,7,0,-2,0,0,-1,3,14,3,0,-1,0,0,-5,3,13,9,0,-2,0,-3,-5,3,13,8,0,-3,0,-3,-5,3,14,4,0,-2,0,-4,-5,3,13,8,0,-3,0,-3,-5,3
3225,8,9,0,0,0,11,9,0,7,8,0,0,0,9,9,0,10,0,-1,-3,0,10,8,3,7,7,-1,-3,0,11,8,3,7,3,-1,-3,0,7,5,3,7,7,-1,-3,0,11,6,3,7,8,-1,-3,0,5,4,3,8,-1,-1,-3,0,6,5,3
3226,9,9,2,1,0,13,5,0,8,11,2,1,0,16,7,0,15,12,1,0,0,13,6,3,10,3,1,-2,0,11,2,3,8,7,1,-2,0,10,1,3,8,7,1,-2,0,9,1,3,8,7,1,-2,0,10,1,3,8,7,1,-2,0,11,2,3
3227,10,-1,0,0,0,10,11,0,8,8,0,0,0,9,11,0,10,1,0,-3,0,8,8,3,8,3,0,-3,0,11,4,3,9,0,-1,-3,0,13,7,3,9,-1,-1,-3,0,11,5,3,8,3,-1,-3,0,12,7,3,8,7,-1,-3,0,14,7,3
3228,9,8,1,2,0,1,-1,0,9,2,1,2,0,0,-1,0,9,1,1,-1,0,1,-2,3,10,5,0,-1,0,1,-5,3,7,2,0,-1,0,-2,-5,3,6,2,0,-1,0,-1,-7,3,7,2,0,-1,0,0,-4,3,10,-1,0,-1,0,1,-4,3
3229,13,1,1,1,0,15,8,0,15,4,1,1,0,17,8,0,13,1,1,-2,0,14,5,3,13,5,0,-2,0,16,5,3,13,5,0,-2,0,9,1,3,13,1,0,-2,0,13,2,3,13,5,0,-2,0,12,0,3,13,4,0,-2,0,8,2,3
3230,9,7,0,0,0,11,9,0,9,8,0,0,0,13,12,0,9,9,0,-3,0,11,9,3,10,8,-1,-3,0,11,8,3,10,0,-1,-3,0,9,8,3,10,2,-1,-3,0,7,7,3,10,0,-1,-3,0,11,7,3,10,-1,-1,-3,0,7,7,3
3231,14,4,1,1,0,2,5,0,15,5,1,1,0,3,0,0,13,3,1,-2,0,6,3,3,15,3,0,-2,0,3,-2,3,13,6,0,-2,0,-3,-1,3,13,6,0,-2,0,3,-1,3,13,6,0,-2,0,3,-1,3,13,6,0,-2,0,3,-1,3
3232,12,1,0,1,0,17,8,0,10,9,0,1,0,17,8,0,10,2,0,-2,0,13,1,3,10,1,0,-2,0,12,1,3,10,5,-1,-2,0,14,3,3,10,5,-1,-2,0,14,3,3,10,5,-1,-2,0,9,2,3,10,5,-1,-2,0,14,3,3
3233,7,5,1,0,0,8,10,0,9,4,1,0,0,12,11,0,9,4,1,-3,0,6,7,3,8,6,1,-3,0,11,4,3,6,7,0,-3,0,3,4,3,7,9,0,-3,0,12,6,3,8,3,0,-3,0,8,3,3,7,9,0,-3,0,12,6,3
3234,16,9,0,3,0,13,10,0,15,7,0,3,0,15,12,0,16,9,-1,0,0,12,6,3,15,3,-1,0,0,12,8,3,15,3,-1,0,0,11,8,3,16,2,-2,0,0,11,6,3,16,3,-1,0,0,13,7,3,15,2,-1,0,0,11,6,3
3235,11,6,1,1,0,17,14,0,11,6,1,1,0,16,14,0,10,6,1,-2,0,10,7,3,13,0,-1,-2,0,11,9,3,13,0,-1,-2,0,10,7,3,9,5,0,-2,0,11,8,3,11,6,0,-2,0,10,7,3,13,1,0,-2,0,11,9,3
3236,14,1,0,3,0,6,9,0,12,4,0,-1,0,6,6,0,12,4,0,0,0,2,7,3,12,4,0,0,0,6,5,3,12,3,0,-1,0,6,5,3,13,5,0,-1,0,6,6,3,13,5,0,-1,0,4,6,3,12,3,0,-1,0,3,4,3
3237,7,8,0,2,0,11,15,0,10,1,0,2,0,9,12,0,8,8,-1,-1,0,7,9,3,8,8,0,-1,0,7,9,3,8,2,-1,-1,0,7,10,3,8,2,-1,-1,0,7,9,3,8,2,-1,-1,0,4,8,3,8,2,-1,-1,0,4,8,3
3238,16,8,0,4,0,14,16,0,14,9,0,4,0,13,16,0,16,6,0,1,0,9,10,3,16,5,0,1,0,9,10,3,14,9,-1,1,0,11,13,3,14,10,-1,1,0,9,10,3,14,9,-1,1,0,10,11,3,14,10,-1,1,0,7,10,3
3239,15,12,0,3,0,5,2,0,15,9,0,2,0,3,2,0,15,10,0,0,0,2,-1,3,13,5,0,-1,0,-3,-6,3,15,4,0,0,0,0,-6,3,15,1,0,0,0,2,-3,3,13,6,0,-1,0,-4,-4,3,15,3,0,0,0,-1,-3,3
3240,9,9,0,0,0,11,14,0,9,4,0,0,0,14,9,0,10,2,-1,-3,0,10,6,3,10,-1,-2,-3,0,8,3,3,10,0,-1,-3,0,11,3,3,9,-1,-1,-3,0,5,4,3,7,4,-1,-3,0,11,3,3,7,3,-1,-3,0,5,4,3
3241,8,5,0,2,0,13,15,0,9,5,0,2,0,12,14,0,9,1,0,-1,0,9,11,3,7,3,-1,-1,0,9,9,3,7,4,-1,-1,0,6,8,3,7,3,-1,-1,0,5,8,3,7,4,-1,-1,0,6,8,3,7,3,-1,-1,0,5,8,3
3242,14,0,1,2,0,0,0,0,12,5,1,2,0,-1,-3,0,12,7,1,-1,0,1,0,3,11,4,0,-1,0,-1,9,3,10,6,0,-1,0,0,-4,3,14,0,0,-1,0,-3,-4,3,11,8,0,-1,0,-1,-4,3,12,6,0,-1,0,-3,-4,3
3243,10,0,0,0,0,6,14,0,10,0,0,0,0,7,12,0,9,8,-1,-3,1,29,39,3,8,4,-1,-3,0,8,7,3,10,2,-1,-3,0,8,8,3,9,6,-1,-3,0,6,8,3,10,2,-1,-3,0,8,7,3,9,6,-1,-3,0,4,6,3
3244,13,5,0,1,0,1,2,0,13,5,0,1,0,0,0,0,14,3,-1,-2,0,2,2,3,14,1,-2,-2,0,2,1,3,14,1,-2,-2,0,-1,1,3,13,2,-1,-2,0,20,2,3,11,6,-1,-2,0,1,0,3,11,7,-1,-2,0,2,0,3
3245,9,-4,0,2,0,8,9,0,10,9,0,2,0,11,10,0,9,3,-1,-1,0,8,7,3,8,4,0,-1,0,2,4,3,10,-1,-1,-1,0,7,4,3,11,0,-1,-1,0,6,5,3,10,-1,-1,-1,0,5,5,3,11,0,-1,-1,0,6,5,3
3246,8,4,0,2,0,7,17,0,8,4,0,2,0,7,7,0,9,1,0,-1,0,4,10,3,5,4,0,-3,0,2,7,3,6,4,0,-3,0,7,8,3,6,5,0,-3,0,2,7,3,5,3,0,-3,0,7,8,3,5,4,0,-3,0,2,7,3
3247,12,4,0,2,0,12,13,0,13,0,0,2,0,11,12,0,10,5,0,-1,0,13,10,3,10,4,-1,-1,0,7,9,3,10,4,-1,-1,0,13,10,3,13,1,-1,-1,0,12,10,3,12,0,-1,-1,0,10,10,3,10,5,-1,-1,0,10,9,3
3248,9,6,0,2,0,12,12,0,10,10,0,2,0,12,12,0,9,10,0,-1,0,10,8,3,10,2,-1,-1,0,5,5,3,10,3,-1,-1,0,5,5,3,9,2,-1,-1,0,5,5,3,7,7,-1,-1,0,5,5,3,7,6,-1,-1,0,5,5,3
3249,14,10,0,1,0,15,10,0,13,13,0,1,0,18,12,0,14,10,0,-2,0,12,6,3,14,6,0,-2,0,10,8,3,13,5,0,-2,0,15,6,3,15,3,0,-2,0,12,7,3,14,1,-1,-2,0,15,6,3,13,10,-1,-2,0,12,7,3
3250,14,0,0,1,0,7,8,0,12,9,0,1,0,2,3,0,12,9,0,-2,0,7,1,3,13,2,-2,-2,0,6,-3,3,13,1,-1,-2,0,-2,-3,3,13,-1,-1,-2,0,7,-1,3,12,4,-1,-2,0,-2,-3,3,13,-1,-1,-2,0,7,-1,3
3251,12,3,0,2,0,9,7,0,12,3,0,2,0,10,10,0,12,1,0,-1,0,10,6,3,10,3,-1,-1,0,7,7,3,13,0,-1,-1,0,11,7,3,12,-1,-1,-1,0,7,7,3,13,0,-1,-1,0,11,7,3,12,-1,-1,-1,0,7,7,3
3252,12,-1,0,0,0,13,11,0,10,10,0,1,0,12,7,0,11,7,0,-2,0,12,8,3,10,7,0,-3,0,4,5,3,11,-2,0,-3,0,10,6,3,10,7,0,-3,0,4,5,3,11,6,0,-3,0,7,6,3,10,2,0,-3,0,9,6,3
3253,11,5,0,0,0,12,15,0,10,12,0,0,0,15,14,0,10,6,-1,-3,0,11,12,3,9,5,0,-3,0,14,11,3,8,6,-1,-3,0,8,10,3,10,1,-1,-3,0,11,11,3,8,6,-1,-3,0,11,10,3,10,1,-1,-3,0,9,10,3
3254,6,7,0,0,0,11,15,0,7,3,0,1,0,9,24,0,6,9,0,-2,0,3,8,3,7,-1,0,-3,0,2,9,3,6,8,0,-3,0,7,7,3,7,-1,0,-3,0,3,8,3,6,8,0,-3,0,7,7,3,7,7,0,-3,0,2,9,3
3255,10,4,0,1,0,9,11,0,10,4,0,1,0,11,11,0,10,1,0,-2,0,7,5,3,10,2,-1,-2,0,3,7,3,8,5,-1,-2,0,4,4,3,9,3,-1,-2,0,7,5,3,8,2,-1,-2,0,13,21,3,9,3,-1,-2,0,7,5,3
3256,13,5,0,2,0,8,12,0,12,9,0,2,0,11,13,0,13,6,0,-2,0,8,10,3,13,7,0,-2,0,10,10,3,13,8,0,-2,0,8,8,3,15,1,0,-1,0,2,7,3,15,2,0,-1,0,5,8,3,12,5,0,-2,0,5,7,3
3257,12,-2,0,2,0,12,11,0,9,2,0,0,0,10,9,0,10,4,0,-2,0,5,7,3,10,4,0,-3,0,4,4,3,9,2,0,-3,0,7,3,3,10,3,0,-3,0,11,6,3,9,2,0,-3,0,2,4,3,10,5,0,-3,0,11,6,3
3258,12,8,1,2,0,15,3,0,11,7,0,2,0,18,5,0,11,5,0,-1,0,15,1,3,11,5,0,-1,0,14,0,3,12,6,0,-2,0,13,-1,3,14,0,0,2,0,11,0,3,16,12,1,-3,0,15,0,3,11,21,3,1,0,11,0,3
3259,13,-1,0,2,0,15,11,0,13,8,0,2,0,14,12,0,13,8,0,-1,0,12,8,3,10,3,0,-2,0,12,8,3,11,3,0,-1,0,12,8,3,9,3,0,-2,0,12,5,3,9,5,0,-2,0,9,6,3,9,3,0,-2,0,9,5,3
3260,11,5,1,1,0,13,13,0,12,3,1,1,0,13,12,0,13,0,0,-2,0,10,9,3,12,7,1,-2,0,10,9,3,13,0,1,-2,0,8,6,3,12,1,1,-2,0,10,9,3,10,3,0,-2,0,8,7,3,13,0,0,-2,0,6,6,3
3261,8,6,0,1,0,8,9,0,8,10,0,1,0,7,8,0,10,0,0,-2,0,5,7,3,9,1,-2,-2,0,6,2,3,9,1,-2,-2,0,4,2,3,8,2,-1,-2,0,8,5,3,8,6,-1,-2,0,3,4,3,8,7,-1,-2,0,3,4,3
3262,7,7,0,1,0,14,13,0,10,-2,0,2,0,13,12,0,8,4,0,-3,0,10,20,3,8,5,0,-3,0,6,9,3,7,2,0,-3,0,9,7,3,10,-1,0,-2,0,10,8,3,7,2,0,-3,0,4,7,3,14,6,1,-3,0,7,6,3
3263,9,5,0,1,0,14,8,0,7,2,0,0,0,14,6,0,8,8,0,-2,0,12,5,3,9,1,0,-2,0,7,4,3,7,7,0,-3,0,12,5,3,7,8,0,-3,0,7,4,3,8,2,0,-3,0,12,5,3,8,0,0,-3,0,7,4,3
3264,10,4,0,1,0,11,11,0,10,0,0,1,0,12,10,0,9,2,0,-2,0,10,8,3,8,2,-1,-2,0,10,8,3,8,5,-1,-2,0,6,4,3,8,5,-1,-2,0,9,5,3,8,5,-1,-2,0,6,4,3,8,5,-1,-2,0,9,5,3
3265,8,3,0,2,0,12,11,0,8,4,0,2,0,24,27,0,8,1,0,-1,0,6,9,3,5,2,0,-3,0,7,6,3,5,3,0,-3,0,6,6,3,6,3,0,-3,0,7,6,3,6,4,0,-3,0,6,6,3,5,2,0,-3,0,7,6,3
3266,12,0,0,4,0,15,16,0,11,3,0,4,0,16,15,0,12,6,0,0,0,11,9,3,8,3,0,-1,0,7,9,3,9,3,0,-1,0,12,10,3,9,4,0,-1,0,13,9,3,8,2,0,-1,0,10,9,3,8,3,0,-1,0,10,9,3
3267,2,2,1,1,0,14,8,0,4,-1,0,2,0,10,6,0,2,5,0,-2,0,7,4,3,0,4,0,-3,0,11,2,3,4,-2,0,-2,0,8,2,3,1,6,0,-3,0,6,2,3,2,4,0,-3,0,10,3,3,3,0,0,-2,0,8,3,3
3268,14,7,0,1,0,7,6,0,15,9,0,1,0,5,4,0,14,5,0,-2,0,4,2,3,14,8,0,-2,0,1,-1,3,15,2,0,-2,0,0,-1,3,14,0,-1,-2,0,2,0,3,14,1,-1,-2,0,1,0,3,14,0,-1,-2,0,1,-1,3
3269,7,15,1,1,0,4,11,0,4,9,2,1,0,11,13,0,5,9,1,-2,0,9,8,3,5,8,1,-2,0,8,8,3,4,4,1,-2,0,5,7,3,4,8,1,-2,0,6,9,3,4,9,1,-2,0,8,8,3,5,0,1,-2,0,6,9,3
3270,14,8,0,1,0,10,9,0,13,7,0,1,0,11,9,0,14,7,-1,-2,0,9,7,3,14,7,-1,-2,0,4,3,3,14,3,0,-2,0,5,3,3,14,1,-1,-2,0,8,4,3,13,2,-1,-2,0,8,4,3,13,6,-1,-2,0,5,3,3
3271,14,6,0,3,0,12,10,0,14,7,0,3,0,12,9,0,12,5,0,-1,0,8,6,3,15,3,0,0,0,6,3,3,12,8,0,-2,0,3,4,3,12,7,0,-2,0,9,3,3,14,3,0,-1,0,3,4,3,15,2,0,-1,0,9,3,3
3272,12,10,0,1,0,16,10,0,12,8,2,1,0,15,10,0,14,4,2,-2,0,13,7,3,14,5,2,-2,0,13,4,3,12,8,1,-2,0,11,5,3,12,8,1,-2,0,13,4,3,12,8,1,-2,0,11,5,3,12,8,1,-2,0,13,4,3
3273,12,9,0,2,0,3,3,0,12,4,0,2,0,6,1,0,12,1,0,-1,0,4,1,3,12,-1,-1,-1,0,1,-3,3,10,4,-1,-1,0,2,-1,3,13,0,-1,-1,0,4,-2,3,12,-1,-1,-1,0,-2,-2,3,10,4,-1,-1,0,4,-2,3
3274,13,9,0,1,0,0,5,0,14,5,0,1,0,1,5,0,13,11,0,-2,0,-2,2,3,13,5,0,-2,0,1,-1,3,13,5,-1,-2,0,1,-1,3,13,9,-1,-2,0,3,1,3,13,5,-1,-2,0,4,1,3,13,9,-1,-2,0,1,-2,3
3275,8,8,0,2,0,13,12,0,10,1,0,2,0,13,11,0,10,2,0,-1,0,9,8,3,7,6,-1,-1,0,10,9,3,8,5,-1,-1,0,8,5,3,6,6,-1,-1,0,8,5,3,11,1,-1,-1,0,7,5,3,11,2,-1,-1,0,6,5,3
3276,14,3,0,1,0,11,15,0,14,4,0,1,0,11,9,0,12,1,0,-2,0,9,6,3,12,1,-1,-2,0,9,6,3,13,2,-1,-2,0,5,5,3,12,1,-1,-2,0,5,5,3,13,2,-1,-2,0,5,5,3,12,1,-1,-2,0,5,5,3
3277,11,-2,0,2,0,15,9,0,10,1,0,2,0,17,11,0,9,1,-1,-1,0,14,8,3,8,2,-1,-1,0,12,4,3,8,1,-1,-1,0,14,6,3,8,2,-1,-1,0,9,5,3,8,1,-1,-1,0,9,5,3,8,2,-1,-1,0,9,5,3
3278,13,2,-1,1,0,12,11,0,14,-1,0,1,0,15,14,0,14,-1,0,-2,0,13,11,3,11,2,0,-2,0,9,9,3,12,-2,-1,-2,0,10,8,3,11,6,-1,-2,0,9,10,3,11,6,-1,-2,0,12,9,3,11,6,-1,-2,0,9,9,3
