
     Clock     uop p4     uop p5     uop p6     uop p7 
       144          0         12         11          0 
         2          0         11         12          0 
         4          0          9          6          3 
         2          0          6          6          3 
         4          0          8          6          3 
         4          0          5          5          3 
         4          0          5          5          3 
         2          0          5          5          3 
