
     Clock     uop p0     uop p1     uop p2     uop p3 
         4         13          6          0          3 
         0         11          4          0          2 
        -2         13          8          0         -1 
         2         12          2          0         -1 
        -2         13          1          0         -1 
         0         12          2          0         -1 
         2         13          2          0         -1 
         0         12          1          0         -1 
